X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
0.163,0.659,0.427,0.256,0.106,0.133,0.119,0.204,0.304,jab
2.568,9.398,7.955,1.385,2.644,0.93,4.492,6.989,5.778,jab
0.199,0.367,0.131,0.231,0.252,0.15,0.721,0.576,1.281,jab
3.714,9.132,7.237,2.134,2.372,0.897,0.238,0.241,0.27,jab
0.244,0.69,0.271,0.13,0.168,0.16,4.524,7.174,6.708,jab
0.488,2.356,2.264,0.832,0.518,0.368,0.505,0.549,0.811,jab
3.183,6.764,4.926,1.153,1.548,0.707,0.108,0.103,0.177,jab
0.091,0.149,0.13,0.05,0.065,0.071,4.722,8.469,6.706,jab
1.481,6.46,3.726,0.966,1.284,0.753,0.762,0.388,0.899,jab
1.896,2.484,1.645,0.9,0.91,0.579,0.311,0.139,0.365,jab
0.047,0.15,0.089,0.066,0.042,0.046,4.7,7.501,7.031,jab
4.035,8.453,6.329,1.36,1.402,0.696,0.51,0.396,1.046,jab
0.66,0.968,0.578,0.482,0.332,0.519,0.27,0.114,0.337,jab
0.107,0.095,0.11,0.09,0.107,0.052,4.181,6.01,7.775,jab
4.39,7.701,7.541,2.031,2.396,1.041,0.458,0.545,1.335,jab
0.399,0.871,0.446,0.313,0.255,0.36,0.14,0.074,0.133,jab
0.1,0.115,0.106,0.092,0.075,0.072,4.326,6.831,8.868,jab
4.545,7.804,6.92,1.983,1.984,1.203,0.71,0.258,1.241,jab
0.398,1.116,0.709,0.47,0.477,0.409,0.139,0.072,0.063,jab
0.047,0.106,0.089,0.053,0.071,0.039,0.694,0.994,2.317,jab
4.565,7.403,6.606,1.445,1.574,1.155,3.223,4.673,7.693,jab
0.444,1.052,0.609,0.247,0.467,0.487,0.174,0.115,0.319,jab
0.225,0.418,0.201,0.314,0.166,0.253,0.246,0.12,0.287,jab
5.635,8.618,5.734,1.868,1.856,1.382,4.065,6.452,9.618,jab
0.266,0.52,0.136,0.214,0.117,0.251,0.586,0.294,1.154,jab
0.316,0.62,0.278,0.197,0.126,0.176,0.248,0.118,0.228,jab
7.619,10.136,6.964,2.049,1.903,1.481,4.038,5.957,9.537,jab
0.118,0.375,0.225,0.066,0.292,0.22,0.802,0.322,1.58,jab
2.286,3.898,3.911,1.197,1.001,0.747,0.104,0.043,0.12,jab
3.23,5.937,3.392,0.982,1.652,1.062,0.097,0.053,0.142,jab
0.117,0.22,0.114,0.072,0.118,0.11,4.647,6.465,9.653,jab
5.556,8.47,6.343,1.699,2.092,1.212,0.458,0.328,1.398,jab
0.278,1.0,0.376,0.463,0.372,0.596,0.136,0.041,0.099,jab
0.156,0.27,0.251,0.184,0.071,0.106,5.449,6.491,10.389,jab
6.558,8.931,6.496,1.772,1.733,1.382,0.533,0.448,1.755,jab
0.291,0.737,0.142,0.107,0.167,0.175,0.064,0.087,0.079,jab
0.318,0.671,0.297,0.278,0.198,0.189,0.508,1.107,2.246,jab
6.0,7.715,7.034,2.054,2.46,1.359,4.349,5.535,9.729,jab
0.169,0.523,0.259,0.176,0.091,0.191,0.295,0.125,0.391,jab
1.528,3.214,3.498,1.19,0.745,0.569,0.423,0.362,0.676,jab
4.393,6.224,3.644,1.158,1.162,1.017,3.647,7.687,10.254,jab
0.163,0.507,0.268,0.15,0.071,0.158,0.296,0.37,0.736,jab
5.493,8.983,5.975,1.493,1.525,1.298,0.228,0.106,0.332,jab
0.901,1.55,1.073,0.707,0.659,0.666,4.491,7.303,8.78,jab
0.116,0.243,0.128,0.089,0.095,0.06,0.267,0.357,1.076,jab
5.095,8.221,5.485,1.769,1.667,1.224,0.121,0.047,0.105,jab
0.351,1.054,0.448,0.347,0.252,0.496,4.71,6.887,9.436,jab
0.113,0.265,0.221,0.151,0.095,0.083,0.348,0.382,1.193,jab
5.255,8.378,6.819,1.638,2.014,1.201,0.064,0.099,0.124,jab
0.122,0.713,0.216,0.214,0.102,0.183,3.222,3.071,3.374,jab
1.775,7.171,6.023,1.106,1.091,0.616,3.314,5.374,7.021,jab
3.055,1.823,1.34,0.808,0.949,0.734,0.261,0.252,0.367,jab
0.098,0.343,0.204,0.116,0.075,0.133,0.304,0.238,0.514,jab
3.775,8.148,4.678,1.591,1.512,0.948,4.908,7.236,8.567,jab
0.494,1.227,0.868,0.668,0.431,0.299,0.262,0.299,0.718,jab
0.109,0.272,0.204,0.175,0.048,0.103,0.621,0.322,0.932,jab
3.394,7.027,4.423,1.194,1.362,1.069,3.109,6.883,7.323,jab
0.434,1.213,0.863,0.482,0.537,0.575,0.867,0.919,1.087,jab
0.063,0.16,0.09,0.075,0.044,0.07,0.214,0.319,0.163,jab
3.37,7.046,4.628,1.264,1.683,1.073,3.345,3.473,5.02,jab
0.665,1.033,0.932,0.593,0.487,0.281,1.581,4.036,3.861,jab
0.85,1.049,0.863,0.516,0.515,0.216,0.348,0.421,0.251,jab
2.714,10.341,7.795,1.795,2.267,0.839,0.164,0.126,0.219,jab
0.721,2.013,0.783,0.487,0.713,0.417,5.519,8.082,8.312,jab
0.972,0.917,0.781,0.56,0.64,0.45,0.151,0.644,1.161,jab
3.365,7.98,4.59,1.38,1.6,0.804,0.139,0.082,0.136,jab
0.767,2.023,1.349,0.889,0.737,0.394,5.219,10.168,6.935,jab
0.09,0.188,0.138,0.142,0.075,0.109,1.264,0.882,1.632,jab
0.106,0.401,0.253,0.284,0.073,0.104,0.084,0.092,0.108,jab
3.71,7.876,5.533,1.969,1.826,1.182,3.828,3.712,4.263,jab
0.161,0.737,0.345,0.305,0.094,0.142,3.435,5.102,3.709,jab
0.057,0.073,0.087,0.082,0.053,0.062,0.114,0.094,0.155,jab
3.699,8.078,4.548,1.348,1.395,0.813,0.109,0.067,0.16,jab
0.524,1.196,0.945,0.578,0.366,0.359,4.031,8.256,7.505,jab
0.052,0.074,0.075,0.05,0.045,0.039,0.267,0.56,1.064,jab
0.238,2.319,1.505,0.517,0.465,0.359,0.075,0.133,0.145,jab
3.328,6.75,4.161,1.448,1.659,0.967,2.38,2.105,3.658,jab
0.106,0.23,0.131,0.065,0.045,0.045,2.427,5.391,5.031,jab
0.142,1.835,0.887,0.342,0.203,0.188,0.131,0.164,0.138,jab
4.571,7.145,5.105,1.667,1.496,1.133,0.187,0.306,0.593,jab
0.081,0.312,0.151,0.134,0.061,0.114,5.115,8.177,9.281,jab
0.508,2.872,3.127,1.298,0.622,0.434,0.245,0.312,0.672,jab
3.66,5.825,3.079,1.076,1.545,1.084,0.103,0.095,0.14,jab
0.082,0.151,0.112,0.047,0.044,0.07,5.142,7.714,6.578,jab
0.115,0.529,0.185,0.159,0.117,0.115,0.712,0.625,1.789,jab
5.351,8.279,4.843,1.719,1.707,1.434,0.21,0.211,0.291,jab
0.208,0.466,0.141,0.102,0.102,0.127,5.021,7.78,7.4,jab
0.074,0.219,0.098,0.222,0.074,0.028,1.209,1.299,1.793,jab
3.333,7.138,5.585,1.697,1.575,1.315,0.106,0.085,0.183,jab
0.906,1.075,0.7,0.373,0.64,0.367,0.661,1.89,2.251,jab
0.875,3.657,1.83,0.831,1.088,0.686,4.683,6.3,6.29,jab
5.096,6.611,3.02,1.259,1.398,1.08,0.192,0.223,0.325,jab
0.128,0.381,0.188,0.178,0.093,0.172,0.124,0.145,0.077,jab
4.4,8.012,4.834,1.22,1.839,1.159,4.981,7.541,5.781,jab
0.345,1.328,0.564,0.731,0.331,0.175,1.362,1.058,2.145,jab
0.09,0.162,0.136,0.066,0.068,0.113,0.122,0.097,0.107,jab
3.972,8.216,4.277,1.359,1.376,1.004,0.298,0.575,0.816,jab
0.174,1.049,0.327,0.319,0.303,0.431,5.93,9.727,7.401,jab
0.084,0.107,0.153,0.115,0.051,0.117,0.404,0.337,0.424,jab
2.711,7.507,5.069,1.39,1.285,0.994,0.162,0.103,0.097,jab
0.255,1.253,0.589,0.268,0.29,0.201,0.729,1.842,2.384,jab
0.139,1.274,0.532,0.277,0.169,0.097,4.635,6.864,6.576,jab
3.59,7.323,5.29,1.673,1.59,1.132,0.251,0.235,0.223,jab
0.099,0.26,0.108,0.037,0.098,0.106,0.149,0.045,0.075,jab
0.078,0.182,0.168,0.233,0.096,0.059,5.341,8.632,6.799,jab
3.159,7.776,5.489,1.905,1.516,1.053,0.527,0.327,0.966,jab
0.107,0.605,0.101,0.181,0.074,0.148,0.103,0.052,0.103,jab
0.063,0.245,0.145,0.207,0.077,0.092,0.132,0.071,0.143,jab
3.985,8.605,5.396,1.593,1.983,1.451,4.737,7.476,8.623,jab
0.151,0.571,0.168,0.1,0.185,0.316,0.561,0.418,1.463,jab
0.333,0.934,0.503,0.256,0.08,0.199,0.092,0.119,0.131,jab
5.34,8.476,6.162,1.987,1.905,1.136,0.107,0.089,0.092,jab
0.137,0.381,0.109,0.051,0.161,0.124,5.366,8.306,8.097,jab
0.091,0.209,0.136,0.195,0.088,0.061,0.361,0.584,1.387,jab
4.374,8.517,5.656,1.852,1.622,1.366,0.107,0.051,0.155,jab
0.209,1.019,0.292,0.196,0.177,0.356,5.212,6.866,7.904,jab
0.065,0.102,0.062,0.049,0.042,0.053,1.323,1.31,3.721,jab
3.412,7.383,4.763,1.725,1.489,1.229,0.144,0.214,0.175,jab
0.466,1.574,1.349,0.776,0.516,0.341,0.407,0.617,1.439,jab
0.09,0.155,0.114,0.139,0.041,0.061,6.068,6.212,6.333,jab
0.194,1.344,0.628,0.374,0.178,0.206,0.365,0.282,0.805,jab
3.975,7.302,5.086,1.751,1.597,1.178,0.152,0.165,0.243,jab
0.886,0.68,0.849,0.25,0.478,0.493,3.722,6.823,6.565,jab
4.663,8.775,5.801,1.509,1.603,1.115,0.822,0.83,1.726,jab
0.548,2.033,1.188,0.672,0.649,0.399,0.17,0.136,0.125,jab
1.416,1.02,0.955,0.305,0.563,0.469,0.379,0.713,1.359,jab
4.329,8.514,5.237,1.378,1.618,0.772,5.751,7.679,7.758,jab
0.689,1.658,1.056,0.707,0.477,0.336,0.237,0.318,0.388,jab
0.084,0.096,0.089,0.086,0.036,0.025,0.091,0.075,0.104,jab
0.386,2.573,1.775,0.954,0.502,0.497,0.25,0.477,1.104,jab
4.263,5.801,3.301,1.398,1.848,1.155,5.445,7.688,7.301,jab
0.094,0.266,0.099,0.047,0.051,0.093,0.202,0.337,0.565,jab
0.27,1.995,1.557,0.627,0.381,0.347,0.132,0.084,0.172,jab
4.712,6.828,4.169,1.552,1.339,1.048,5.523,8.152,6.079,jab
0.149,0.387,0.2,0.104,0.107,0.092,0.733,1.079,1.684,jab
0.129,0.263,0.179,0.179,0.094,0.078,0.084,0.066,0.084,jab
4.044,7.604,5.724,1.807,1.869,1.438,0.221,0.15,0.174,jab
0.264,1.243,0.372,0.188,0.26,0.111,5.601,8.408,7.221,jab
0.092,0.169,0.142,0.112,0.037,0.054,0.535,0.646,1.012,jab
3.445,7.548,4.186,1.264,1.211,1.106,0.206,0.156,0.117,jab
0.475,1.445,0.773,0.624,0.391,0.362,0.112,0.095,0.185,jab
0.043,0.084,0.089,0.065,0.026,0.022,6.73,8.496,7.94,jab
0.136,0.517,0.241,0.347,0.219,0.256,0.328,0.542,1.228,jab
4.119,8.369,5.875,2.069,1.917,1.361,0.167,0.036,0.1,jab
0.069,0.611,0.187,0.11,0.099,0.128,0.077,0.069,0.062,jab
0.098,0.083,0.069,0.129,0.08,0.052,5.84,6.957,7.615,jab
3.711,7.549,5.595,1.704,1.243,1.115,1.08,0.789,1.996,jab
0.319,1.417,0.799,0.357,0.346,0.244,0.143,0.166,0.253,jab
0.123,0.164,0.12,0.169,0.051,0.098,0.208,0.147,0.289,jab
0.735,2.571,2.333,1.152,0.534,0.64,5.957,7.849,6.451,jab
2.396,5.332,2.779,0.915,1.107,0.998,0.321,0.344,0.929,jab
0.087,0.2,0.113,0.075,0.046,0.041,0.101,0.101,0.166,jab
0.045,0.063,0.054,0.029,0.028,0.027,6.211,7.508,7.523,jab
0.181,1.727,0.948,0.544,0.247,0.257,0.337,0.558,1.115,jab
3.525,6.781,5.271,1.979,1.734,1.161,0.125,0.084,0.062,jab
0.164,0.49,0.136,0.141,0.054,0.218,5.621,7.195,6.914,jab
0.081,0.397,0.195,0.101,0.068,0.16,0.696,0.654,1.375,jab
3.948,7.643,4.597,1.567,1.667,1.142,0.127,0.124,0.099,jab
1.012,0.91,0.647,0.232,0.377,0.432,0.093,0.088,0.12,jab
0.445,0.847,0.464,0.272,0.395,0.202,6.224,7.383,5.083,jab
3.982,8.853,5.644,1.646,2.019,1.142,0.832,0.954,1.43,jab
0.587,0.653,0.49,0.211,0.364,0.453,0.126,0.135,0.146,jab
1.27,0.723,0.552,0.179,0.529,0.686,0.141,0.108,0.117,jab
2.223,7.084,4.166,0.935,1.168,0.7,5.849,9.126,8.2,jab
0.442,1.626,1.316,0.514,0.381,0.302,0.476,0.584,1.032,jab
0.077,0.095,0.091,0.024,0.082,0.026,0.131,0.075,0.082,jab
0.049,0.079,0.047,0.016,0.026,0.015,0.217,0.419,0.276,jab
4.979,7.898,4.115,1.192,1.252,1.031,5.831,9.192,7.932,jab
0.824,1.243,0.533,0.637,0.339,0.566,0.346,0.452,0.608,jab
0.077,0.096,0.096,0.059,0.031,0.024,0.209,0.139,0.167,jab
4.232,7.149,4.033,1.457,1.115,1.22,0.223,0.646,0.874,jab
0.348,1.388,0.508,0.581,0.189,0.377,4.253,7.807,5.899,jab
0.056,0.082,0.07,0.06,0.025,0.023,0.174,0.229,0.244,jab
4.048,7.316,3.736,1.355,1.113,1.27,0.112,0.099,0.131,jab
0.616,1.457,0.793,0.502,0.371,0.504,5.294,8.355,6.056,jab
0.058,0.096,0.069,0.022,0.029,0.021,0.768,1.361,1.545,jab
0.379,2.159,2.105,0.961,0.339,0.341,0.058,0.062,0.111,jab
3.94,6.948,3.212,1.229,1.412,1.581,0.284,0.561,0.866,jab
1.255,2.921,2.852,0.94,0.512,0.791,4.477,7.557,6.361,jab
4.698,6.4,3.488,0.986,0.991,1.274,0.274,0.397,0.611,jab
0.114,0.151,0.102,0.081,0.053,0.064,0.258,0.226,0.575,jab
0.056,0.124,0.082,0.083,0.075,0.041,4.123,7.439,7.256,jab
5.353,7.757,3.015,1.403,0.74,1.147,0.447,0.349,0.652,jab
0.325,1.251,0.477,0.689,0.188,0.485,0.257,0.163,0.13,jab
0.087,0.227,0.157,0.125,0.052,0.111,3.391,6.566,6.213,jab
5.089,8.163,7.537,1.767,2.744,1.502,1.07,1.077,2.409,jab
0.377,1.257,0.544,0.896,0.358,0.411,0.46,0.242,0.704,jab
0.15,0.23,0.128,0.041,0.093,0.067,2.617,2.451,3.817,jab
6.193,8.931,5.787,1.494,1.508,1.112,3.327,6.906,4.261,jab
0.619,1.121,0.371,0.337,0.311,0.432,0.152,0.201,0.415,jab
0.091,0.114,0.105,0.073,0.064,0.031,0.176,0.228,0.394,jab
3.815,6.984,3.561,1.131,0.594,0.782,7.257,9.466,7.366,jab
1.808,2.746,1.573,0.536,0.581,0.836,0.652,0.527,1.059,jab
0.107,0.129,0.064,0.063,0.078,0.068,0.115,0.071,0.165,jab
5.332,8.025,4.356,1.435,0.867,0.954,4.58,7.391,6.691,jab
1.355,1.979,1.367,0.685,0.445,0.745,0.632,0.732,1.468,jab
0.073,0.113,0.084,0.037,0.037,0.071,0.164,0.166,0.138,jab
0.079,0.124,0.05,0.158,0.11,0.047,3.929,6.664,5.205,jab
5.099,8.107,6.909,2.115,1.709,1.38,1.066,1.794,2.381,jab
0.19,0.848,0.162,0.092,0.145,0.343,0.161,0.225,0.209,jab
0.078,0.261,0.148,0.146,0.053,0.103,0.107,0.067,0.11,jab
5.56,9.374,5.839,1.867,1.497,1.294,5.878,9.091,6.991,jab
0.459,0.882,0.239,0.192,0.213,0.223,0.342,0.797,1.163,jab
0.059,0.169,0.077,0.058,0.039,0.071,0.088,0.075,0.121,jab
3.625,7.328,4.22,1.413,1.377,1.178,0.198,0.718,0.99,jab
0.526,1.816,1.049,0.424,0.353,0.48,4.883,7.543,6.489,jab
0.067,0.112,0.069,0.043,0.043,0.039,0.16,0.425,0.342,jab
0.693,2.815,1.859,1.084,0.417,0.394,0.078,0.075,0.098,jab
3.85,6.466,2.68,0.624,0.891,1.043,5.121,8.288,6.31,jab
0.1,0.144,0.085,0.168,0.126,0.091,0.781,1.311,1.479,jab
1.472,3.31,2.366,1.176,0.49,0.606,0.097,0.076,0.134,jab
4.794,6.121,1.88,0.856,1.181,1.221,0.205,0.731,0.662,jab
0.059,0.118,0.069,0.074,0.074,0.052,5.504,8.944,5.713,jab
3.738,7.686,5.501,1.465,1.564,1.22,0.173,0.216,0.202,jab
0.298,1.478,0.706,0.516,0.358,0.41,0.066,0.057,0.055,jab
0.099,0.15,0.073,0.103,0.084,0.046,1.482,2.809,3.031,jab
0.58,2.649,2.31,1.044,0.374,0.386,3.666,7.351,4.417,jab
3.641,5.829,3.458,0.934,1.523,1.327,0.319,0.161,0.194,jab
0.08,0.177,0.087,0.063,0.082,0.056,0.216,0.217,0.338,jab
0.174,0.484,0.112,0.324,0.204,0.097,4.822,8.256,7.291,jab
3.59,7.977,5.199,1.572,1.501,1.302,0.3,0.5,0.521,jab
0.191,0.674,0.241,0.064,0.149,0.12,0.436,1.767,1.531,jab
0.11,0.11,0.107,0.094,0.082,0.075,4.747,8.444,5.25,jab
4.333,8.297,5.647,1.733,1.818,1.423,0.093,0.115,0.236,jab
0.54,1.171,0.278,0.456,0.131,0.279,4.822,7.454,7.297,jab
0.115,0.154,0.093,0.06,0.123,0.084,0.475,0.757,1.397,jab
3.71,8.262,4.757,1.519,1.374,1.251,0.106,0.11,0.171,jab
0.39,1.58,0.697,0.577,0.39,0.368,6.355,8.754,5.553,jab
0.113,0.126,0.065,0.038,0.043,0.029,0.553,0.92,1.503,jab
0.074,0.127,0.085,0.144,0.126,0.023,0.136,0.225,0.346,jab
5.503,8.012,3.922,1.797,2.407,1.55,6.695,7.974,5.901,jab
0.167,0.975,0.196,0.391,0.153,0.409,0.558,0.657,1.373,jab
0.086,0.068,0.098,0.072,0.091,0.029,0.453,0.754,1.103,jab
3.255,7.303,4.133,1.669,1.771,1.237,4.715,7.519,6.226,jab
0.681,1.725,0.76,0.685,0.225,0.207,0.3,0.254,0.542,jab
0.073,0.085,0.073,0.06,0.051,0.045,4.355,7.414,6.359,jab
0.415,2.417,1.434,0.859,0.34,0.386,0.712,1.097,1.535,jab
3.521,7.072,3.813,1.159,0.999,1.218,0.115,0.149,0.134,jab
0.161,0.144,0.113,0.049,0.089,0.1,4.978,8.328,6.095,jab
0.105,0.334,0.172,0.097,0.158,0.275,0.903,1.236,1.549,jab
4.844,8.93,4.952,1.682,1.778,1.573,0.292,0.369,0.793,jab
0.226,0.679,0.159,0.207,0.098,0.139,5.362,7.919,5.497,jab
0.104,0.143,0.179,0.165,0.12,0.087,0.534,0.823,0.767,jab
4.448,7.808,4.493,1.8,2.169,1.559,0.36,0.373,0.478,jab
0.292,0.872,0.263,0.305,0.122,0.212,6.704,7.607,5.228,jab
0.096,0.248,0.128,0.115,0.092,0.099,0.368,0.851,0.989,jab
5.123,8.01,4.576,1.739,2.176,1.47,0.258,0.265,0.444,jab
0.271,0.927,0.273,0.156,0.23,0.195,5.326,7.982,6.441,jab
3.221,6.049,2.853,0.893,1.605,0.845,0.276,0.498,0.592,jab
0.937,1.734,0.979,0.832,1.216,0.396,0.09,0.094,0.139,jab
0.133,0.122,0.112,0.056,0.11,0.09,5.677,7.887,7.591,jab
4.74,7.265,4.499,1.448,2.689,1.16,0.309,1.106,1.0,jab
0.276,1.007,0.287,0.324,0.286,0.377,0.195,0.176,0.211,jab
0.12,0.119,0.065,0.121,0.127,0.031,5.141,7.802,7.354,jab
2.059,6.147,3.881,1.075,1.195,0.87,0.382,0.473,0.565,jab
1.75,2.012,1.37,0.546,1.127,0.904,0.112,0.072,0.131,jab
0.103,0.16,0.09,0.051,0.069,0.031,6.05,8.357,7.046,jab
4.987,6.594,3.256,1.087,2.164,1.401,0.354,0.667,1.211,jab
0.496,1.382,0.556,0.543,0.659,0.426,0.095,0.122,0.162,jab
0.127,0.102,0.076,0.024,0.069,0.058,4.023,7.648,5.781,jab
0.18,1.015,0.341,0.174,0.197,0.214,0.585,0.503,0.956,jab
4.844,7.695,4.088,1.663,2.122,1.198,0.101,0.037,0.164,jab
0.146,0.386,0.221,0.098,0.091,0.15,3.324,4.08,4.014,jab
0.346,1.425,0.413,0.198,0.17,0.319,2.392,4.575,2.515,jab
5.147,7.869,3.686,1.159,1.822,1.109,0.158,0.217,0.183,jab
0.117,0.218,0.167,0.205,0.133,0.162,0.138,0.152,0.107,jab
0.114,0.175,0.092,0.083,0.077,0.048,6.177,8.504,6.87,jab
5.057,8.134,4.184,1.243,2.452,1.31,0.608,1.096,1.644,jab
0.295,0.733,0.188,0.248,0.199,0.419,0.357,0.185,0.335,jab
0.089,0.196,0.082,0.096,0.105,0.076,0.218,0.45,0.146,jab
4.173,7.889,4.301,1.256,2.052,1.245,5.419,8.123,6.774,jab
0.298,1.073,0.281,0.268,0.339,0.473,0.16,0.531,0.368,jab
0.085,0.073,0.064,0.072,0.038,0.041,0.095,0.115,0.119,jab
0.084,0.248,0.127,0.229,0.1,0.1,3.415,2.664,3.795,jab
5.797,8.438,5.399,1.619,2.215,1.325,2.123,7.23,4.331,jab
0.32,0.84,0.301,0.116,0.266,0.203,0.12,0.183,0.182,jab
0.072,0.053,0.075,0.092,0.101,0.067,0.196,0.189,0.099,jab
2.593,4.632,2.56,1.041,1.326,0.816,4.023,6.948,7.481,jab
2.665,3.241,1.911,0.752,1.366,0.909,0.319,0.801,0.745,jab
0.1,0.229,0.103,0.082,0.096,0.152,0.134,0.277,0.329,jab
0.252,0.651,0.136,0.186,0.172,0.307,6.173,7.902,7.547,jab
5.058,7.999,5.52,1.337,1.942,1.163,0.225,0.92,1.128,jab
0.093,0.41,0.099,0.104,0.071,0.116,0.092,0.152,0.119,jab
0.095,0.199,0.117,0.197,0.161,0.091,5.749,6.982,5.925,jab
5.809,7.954,4.113,1.436,2.298,1.389,0.535,0.976,0.85,jab
0.282,0.943,0.182,0.241,0.131,0.396,0.227,0.305,0.321,jab
0.141,0.32,0.18,0.113,0.106,0.071,0.117,0.231,0.276,jab
5.871,8.289,4.719,1.665,2.445,1.524,4.547,7.848,6.109,jab
0.352,0.718,0.198,0.221,0.107,0.352,0.197,0.455,0.732,jab
0.109,0.255,0.157,0.113,0.105,0.202,0.079,0.061,0.156,jab
6.158,8.305,4.944,1.65,2.794,1.501,7.029,7.962,8.206,jab
0.207,0.858,0.211,0.068,0.202,0.445,0.714,0.974,1.002,jab
0.164,0.278,0.133,0.162,0.115,0.079,0.095,0.213,0.131,jab
4.923,8.063,5.073,1.469,2.114,1.276,0.197,0.559,0.498,jab
0.337,0.999,0.294,0.249,0.161,0.378,5.122,7.939,6.409,jab
0.433,1.514,0.715,0.396,0.327,0.343,0.345,0.354,0.604,jab
5.179,7.27,4.612,1.444,2.021,1.252,0.155,0.138,0.191,jab
0.188,0.265,0.213,0.089,0.073,0.074,4.303,7.789,6.07,jab
0.463,1.404,0.478,0.335,0.162,0.258,0.875,1.259,1.382,jab
6.76,7.228,4.222,1.249,2.316,1.459,,,,jab
