X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
0.93,0.485,1.248,0.269,0.233,0.256,leadhook
2.74,6.813,6.529,1.914,1.127,0.988,leadhook
0.764,1.193,1.381,1.289,0.228,0.543,leadhook
1.944,7.334,6.027,1.987,0.656,0.98,leadhook
1.947,1.32,2.79,1.947,0.679,0.655,leadhook
0.15,0.321,0.2,0.134,0.083,0.055,leadhook
4.319,7.317,8.644,2.444,1.494,1.046,leadhook
0.891,1.112,2.051,1.45,0.255,0.345,leadhook
0.123,0.182,0.09,0.246,0.047,0.149,leadhook
4.377,8.268,9.195,2.152,1.318,0.908,leadhook
0.608,0.909,1.584,1.447,0.298,0.319,leadhook
0.136,0.345,0.36,0.199,0.093,0.225,leadhook
3.366,7.596,9.135,3.025,1.219,1.048,leadhook
0.277,0.475,0.749,0.713,0.115,0.274,leadhook
0.108,0.095,0.185,0.065,0.054,0.134,leadhook
4.661,7.738,9.749,2.782,1.275,1.081,leadhook
0.57,0.432,1.105,0.793,0.141,0.268,leadhook
0.192,0.291,0.455,0.25,0.141,0.289,leadhook
4.984,8.31,7.995,2.892,1.652,1.01,leadhook
0.233,0.558,0.546,0.483,0.119,0.152,leadhook
0.589,1.968,2.208,1.174,0.402,0.384,leadhook
3.338,6.262,5.755,2.509,1.038,0.861,leadhook
0.136,0.46,0.439,0.328,0.121,0.149,leadhook
0.252,0.958,0.974,0.631,0.312,0.319,leadhook
3.539,6.516,6.396,2.52,1.325,0.978,leadhook
0.17,0.569,0.496,0.394,0.071,0.105,leadhook
0.07,0.286,0.202,0.147,0.089,0.127,leadhook
3.705,8.395,8.959,2.91,1.99,0.978,leadhook
0.307,0.716,0.735,0.523,0.107,0.036,leadhook
0.109,0.194,0.142,0.127,0.097,0.092,leadhook
4.216,8.795,8.722,2.552,1.752,1.24,leadhook
0.505,0.791,1.182,1.04,0.151,0.245,leadhook
0.095,0.224,0.114,0.104,0.045,0.054,leadhook
4.504,8.254,7.866,2.266,1.4,1.301,leadhook
0.588,0.885,1.808,1.612,0.262,0.199,leadhook
0.088,0.132,0.149,0.108,0.078,0.047,leadhook
3.075,8.043,7.975,2.253,1.52,1.079,leadhook
0.645,1.08,1.879,1.595,0.322,0.391,leadhook
0.159,0.19,0.097,0.071,0.037,0.048,leadhook
0.246,0.791,0.809,0.422,0.15,0.278,leadhook
4.457,7.786,9.394,3.297,1.541,1.172,leadhook
0.216,0.517,0.491,0.296,0.099,0.115,leadhook
0.095,0.157,0.111,0.05,0.086,0.074,leadhook
4.848,8.173,7.685,2.678,1.604,1.249,leadhook
0.406,0.797,1.094,1.097,0.13,0.256,leadhook
0.124,0.128,0.057,0.039,0.042,0.033,leadhook
3.829,7.036,6.921,1.974,1.094,1.073,leadhook
1.317,0.944,2.181,1.99,0.5,0.68,leadhook
0.194,0.236,0.23,0.077,0.082,0.019,leadhook
0.145,0.838,1.012,0.569,0.275,0.207,leadhook
4.84,6.684,7.596,2.95,1.428,1.187,leadhook
0.259,0.473,0.437,0.415,0.049,0.126,leadhook
0.085,0.145,0.066,0.063,0.067,0.06,leadhook
4.306,7.951,8.481,2.326,1.41,0.997,leadhook
0.333,0.848,1.429,1.371,0.148,0.196,leadhook
0.098,0.189,0.101,0.132,0.062,0.093,leadhook
4.247,7.351,7.85,2.169,1.366,1.31,leadhook
0.528,0.774,1.511,1.594,0.222,0.361,leadhook
0.141,0.218,0.089,0.071,0.07,0.045,leadhook
3.387,7.146,7.643,2.069,1.358,1.192,leadhook
1.442,1.026,2.112,1.786,0.5,0.483,leadhook
0.144,0.162,0.137,0.043,0.071,0.032,leadhook
0.486,1.568,2.026,1.142,0.495,0.339,leadhook
5.328,7.341,7.412,2.556,1.16,1.281,leadhook
0.129,0.364,0.281,0.216,0.047,0.054,leadhook
0.36,1.157,1.359,0.783,0.234,0.321,leadhook
4.432,6.652,7.444,2.731,1.223,1.359,leadhook
0.185,0.289,0.49,0.425,0.086,0.147,leadhook
0.341,0.945,1.289,0.773,0.317,0.342,leadhook
4.966,7.19,7.505,2.75,1.432,1.11,leadhook
0.204,0.331,0.516,0.551,0.099,0.161,leadhook
0.119,0.692,0.903,0.539,0.228,0.229,leadhook
5.101,6.676,7.246,2.963,1.305,1.089,leadhook
0.183,0.605,0.976,0.721,0.099,0.043,leadhook
0.101,0.136,0.107,0.145,0.087,0.066,leadhook
5.746,8.036,8.504,2.966,1.545,1.515,leadhook
0.457,0.795,1.272,1.149,0.158,0.235,leadhook
0.112,0.26,0.277,0.223,0.128,0.149,leadhook
4.736,7.312,7.908,3.063,1.672,1.4,leadhook
0.242,0.744,0.933,0.886,0.204,0.089,leadhook
0.126,0.108,0.13,0.111,0.126,0.088,leadhook
5.351,7.735,7.788,2.561,1.158,1.642,leadhook
0.302,0.689,1.477,1.478,0.172,0.343,leadhook
0.111,0.13,0.09,0.105,0.044,0.027,leadhook
1.185,1.523,3.512,1.569,0.452,0.593,leadhook
4.439,6.552,6.541,2.508,1.206,1.186,leadhook
0.119,0.335,0.284,0.251,0.075,0.076,leadhook
0.499,1.14,1.556,0.916,0.415,0.348,leadhook
5.76,7.276,8.035,2.928,1.332,1.707,leadhook
0.178,0.417,0.528,0.447,0.117,0.117,leadhook
0.224,0.53,0.762,0.503,0.179,0.235,leadhook
5.496,7.583,8.018,3.053,1.661,1.071,leadhook
0.212,0.532,0.51,0.441,0.093,0.179,leadhook
0.096,0.137,0.128,0.054,0.075,0.064,leadhook
4.664,6.875,7.879,2.758,1.295,1.573,leadhook
0.269,0.646,1.363,1.229,0.202,0.201,leadhook
0.089,0.077,0.055,0.049,0.035,0.028,leadhook
3.566,6.419,6.916,2.043,0.649,0.912,leadhook
2.322,1.26,3.11,1.939,0.88,0.637,leadhook
0.126,0.325,0.204,0.191,0.049,0.029,leadhook
0.117,0.634,0.759,0.465,0.163,0.17,leadhook
4.321,6.689,8.188,2.849,1.268,1.628,leadhook
0.126,0.468,0.743,0.746,0.118,0.109,leadhook
0.087,0.078,0.089,0.096,0.052,0.037,leadhook
4.248,7.252,8.017,2.149,0.95,1.193,leadhook
1.24,0.965,2.036,1.834,0.593,0.689,leadhook
0.114,0.243,0.122,0.117,0.042,0.08,leadhook
1.176,1.251,3.555,1.699,0.33,0.694,leadhook
3.667,5.505,6.288,2.351,1.182,1.178,leadhook
0.123,0.327,0.363,0.308,0.071,0.104,leadhook
0.083,0.129,0.205,0.109,0.109,0.077,leadhook
4.779,6.758,7.884,2.673,1.277,1.232,leadhook
0.317,0.631,1.357,1.346,0.12,0.279,leadhook
0.11,0.101,0.086,0.134,0.063,0.059,leadhook
4.11,6.626,7.817,2.129,1.114,1.079,leadhook
1.095,0.844,1.667,1.789,0.382,0.623,leadhook
0.072,0.147,0.104,0.05,0.033,0.047,leadhook
1.549,1.765,4.193,1.911,0.497,0.885,leadhook
3.538,5.895,5.609,1.724,1.062,0.794,leadhook
0.11,0.17,0.149,0.156,0.057,0.073,leadhook
0.141,0.349,0.458,0.285,0.103,0.188,leadhook
3.763,7.272,7.182,2.641,1.253,1.08,leadhook
0.198,0.547,0.501,0.64,0.093,0.254,leadhook
0.081,0.122,0.101,0.088,0.033,0.043,leadhook
4.021,6.914,6.567,1.836,1.204,1.216,leadhook
1.108,0.837,1.742,1.795,0.344,0.567,leadhook
0.117,0.175,0.071,0.078,0.035,0.02,leadhook
0.121,1.215,1.459,0.88,0.151,0.19,leadhook
5.053,6.192,6.066,2.262,1.176,1.432,leadhook
0.107,0.521,0.536,0.541,0.059,0.141,leadhook
0.078,0.057,0.081,0.068,0.045,0.057,leadhook
4.595,6.893,7.333,2.124,1.208,1.342,leadhook
0.558,0.967,1.756,1.642,0.233,0.487,leadhook
0.116,0.133,0.063,0.075,0.046,0.066,leadhook
0.419,1.465,1.725,1.141,0.266,0.407,leadhook
4.485,6.99,5.822,2.222,1.514,1.057,leadhook
0.126,0.36,0.338,0.193,0.085,0.113,leadhook
0.107,0.077,0.095,0.07,0.053,0.05,leadhook
4.087,6.806,7.175,1.942,1.384,1.11,leadhook
0.806,1.062,1.786,1.565,0.214,0.474,leadhook
0.095,0.177,0.13,0.082,0.039,0.051,leadhook
0.322,0.978,1.549,0.801,0.24,0.256,leadhook
4.557,6.243,7.241,2.895,1.37,1.691,leadhook
0.133,0.34,0.539,0.421,0.144,0.095,leadhook
0.114,0.073,0.187,0.117,0.081,0.053,leadhook
4.573,6.934,7.776,2.83,1.411,1.194,leadhook
0.221,0.649,1.209,1.007,0.138,0.222,leadhook
0.172,0.129,0.097,0.09,0.075,0.068,leadhook
0.721,1.886,2.624,1.464,0.299,0.514,leadhook
5.02,6.555,6.474,2.191,1.39,1.184,leadhook
0.23,0.353,0.394,0.345,0.06,0.075,leadhook
0.075,0.22,0.129,0.074,0.033,0.046,leadhook
4.434,6.977,7.352,2.091,1.101,1.297,leadhook
0.905,0.98,1.898,1.833,0.289,0.605,leadhook
0.079,0.096,0.082,0.027,0.029,0.036,leadhook
0.31,0.968,1.27,0.761,0.265,0.194,leadhook
4.745,6.095,6.481,2.754,1.241,1.775,leadhook
0.13,0.418,0.68,0.593,0.201,0.126,leadhook
0.085,0.063,0.106,0.072,0.045,0.033,leadhook
4.031,6.528,7.515,2.248,1.401,1.423,leadhook
1.187,0.783,2.143,1.998,0.332,0.763,leadhook
0.121,0.15,0.08,0.115,0.043,0.051,leadhook
0.438,1.262,2.431,1.223,0.299,0.315,leadhook
4.652,5.808,7.146,2.643,1.078,1.549,leadhook
0.227,0.407,0.597,0.47,0.12,0.164,leadhook
0.095,0.111,0.204,0.125,0.101,0.093,leadhook
5.426,7.06,7.519,2.673,1.386,1.806,leadhook
0.352,0.668,1.202,1.22,0.177,0.183,leadhook
0.106,0.133,0.084,0.084,0.061,0.052,leadhook
4.204,6.871,7.612,2.215,1.317,1.225,leadhook
1.075,0.839,1.836,1.675,0.408,0.719,leadhook
0.117,0.135,0.131,0.11,0.064,0.061,leadhook
4.304,7.066,8.983,2.271,1.285,1.196,leadhook
1.593,0.803,2.323,1.93,0.652,0.822,leadhook
0.086,0.106,0.08,0.131,0.034,0.012,leadhook
1.235,1.22,3.41,1.513,0.383,0.467,leadhook
4.074,6.487,6.824,2.582,1.2,1.421,leadhook
0.114,0.176,0.258,0.185,0.1,0.073,leadhook
0.346,0.961,1.772,1.005,0.349,0.221,leadhook
4.743,6.558,8.155,2.99,1.499,1.635,leadhook
0.17,0.263,0.349,0.214,0.157,0.086,leadhook
0.082,0.187,0.315,0.179,0.154,0.095,leadhook
5.688,7.109,7.718,2.93,1.37,1.834,leadhook
0.237,0.411,1.164,1.02,0.157,0.107,leadhook
0.086,0.046,0.062,0.064,0.027,0.023,leadhook
4.454,6.644,7.472,2.238,1.144,1.318,leadhook
0.94,0.695,2.255,1.765,0.374,0.584,leadhook
0.118,0.156,0.063,0.115,0.029,0.034,leadhook
0.076,0.156,0.362,0.112,0.13,0.101,leadhook
4.834,7.265,8.94,2.92,1.406,1.474,leadhook
0.244,0.467,0.865,0.808,0.194,0.297,leadhook
0.092,0.106,0.074,0.041,0.045,0.036,leadhook
4.806,7.016,7.344,2.183,1.376,1.518,leadhook
0.726,0.683,1.924,1.664,0.222,0.344,leadhook
0.124,0.155,0.127,0.092,0.081,0.055,leadhook
0.172,0.562,0.786,0.419,0.252,0.176,leadhook
5.832,6.473,7.922,2.816,1.345,1.868,leadhook
0.174,0.541,0.966,0.863,0.171,0.105,leadhook
0.095,0.042,0.037,0.046,0.034,0.016,leadhook
4.811,6.532,7.499,2.255,1.234,1.179,leadhook
0.56,0.655,1.931,1.656,0.233,0.404,leadhook
0.094,0.117,0.093,0.094,0.038,0.023,leadhook
0.168,0.7,1.167,0.567,0.237,0.232,leadhook
5.115,6.622,8.0,3.001,1.345,1.642,leadhook
0.219,0.433,0.728,0.591,0.166,0.107,leadhook
0.094,0.032,0.084,0.038,0.058,0.022,leadhook
4.995,6.677,7.849,2.328,1.344,1.217,leadhook
0.894,1.007,1.973,1.596,0.368,0.544,leadhook
0.161,0.194,0.082,0.061,0.056,0.054,leadhook
0.141,0.393,0.629,0.304,0.29,0.21,leadhook
5.323,7.506,8.735,3.103,1.617,1.585,leadhook
0.13,0.416,0.364,0.306,0.149,0.144,leadhook
0.102,0.082,0.161,0.067,0.086,0.05,leadhook
5.969,9.064,10.066,3.232,1.636,2.024,leadhook
0.182,0.632,0.902,0.672,0.332,0.106,leadhook
0.081,0.085,0.092,0.053,0.038,0.032,leadhook
4.5,7.678,9.563,2.183,1.434,1.352,leadhook
1.82,1.721,2.991,1.626,0.56,0.707,leadhook
0.11,0.133,0.122,0.122,0.045,0.035,leadhook
4.74,7.102,7.04,2.055,1.022,1.304,leadhook
1.345,1.466,2.507,1.664,0.569,0.604,leadhook
0.115,0.053,0.062,0.054,0.037,0.036,leadhook
3.898,6.663,6.526,1.922,0.861,1.201,leadhook
2.192,2.461,3.566,1.798,0.854,0.979,leadhook
0.11,0.132,0.087,0.104,0.052,0.062,leadhook
2.729,6.035,5.27,1.96,0.659,1.028,leadhook
2.116,2.535,4.054,1.547,0.816,0.812,leadhook
0.099,0.155,0.162,0.085,0.083,0.082,leadhook
0.112,0.225,0.26,0.103,0.106,0.108,leadhook
4.988,8.442,8.956,2.768,1.338,1.461,leadhook
0.151,0.558,0.302,0.442,0.165,0.134,leadhook
0.079,0.099,0.052,0.066,0.032,0.021,leadhook
2.055,2.547,3.841,1.448,0.381,0.967,leadhook
2.838,6.591,4.859,1.742,0.923,1.089,leadhook
0.078,0.138,0.136,0.222,0.05,0.074,leadhook
0.149,0.311,0.605,0.252,0.092,0.124,leadhook
5.463,8.371,8.113,3.275,1.1,1.761,leadhook
0.143,0.361,0.352,0.326,0.064,0.217,leadhook
0.079,0.042,0.059,0.056,0.04,0.014,leadhook
3.997,6.254,6.115,1.908,0.575,1.221,leadhook
2.613,2.453,3.849,1.768,0.83,1.089,leadhook
0.123,0.193,0.123,0.133,0.048,0.046,leadhook
0.097,0.077,0.071,0.041,0.033,0.037,leadhook
5.469,7.434,7.088,2.272,1.279,1.681,leadhook
0.908,0.93,2.156,1.656,0.205,0.481,leadhook
0.082,0.059,0.057,0.065,0.019,0.015,leadhook
0.167,0.681,1.155,0.69,0.185,0.197,leadhook
5.52,6.743,7.263,3.033,1.202,1.736,leadhook
0.132,0.471,0.496,0.525,0.118,0.049,leadhook
0.105,0.087,0.133,0.072,0.071,0.056,leadhook
6.132,7.678,7.797,2.839,1.313,2.184,leadhook
0.266,0.573,1.331,1.175,0.207,0.105,leadhook
0.076,0.099,0.118,0.092,0.041,0.018,leadhook
3.171,2.645,4.418,1.902,0.359,1.202,leadhook
3.227,5.768,5.074,2.058,1.328,1.245,leadhook
0.112,0.137,0.192,0.177,0.063,0.031,leadhook
0.103,0.081,0.24,0.064,0.092,0.047,leadhook
6.37,7.528,7.666,2.886,1.708,2.068,leadhook
0.36,0.613,1.476,1.11,0.198,0.195,leadhook
0.09,0.066,0.103,0.068,0.034,0.031,leadhook
2.413,1.439,3.732,1.79,0.348,0.963,leadhook
4.286,5.946,5.394,1.86,1.247,1.312,leadhook
0.102,0.267,0.292,0.271,0.068,0.034,leadhook
0.124,0.187,0.451,0.192,0.124,0.083,leadhook
5.956,7.122,8.204,3.022,1.73,1.709,leadhook
0.201,0.265,0.906,0.817,0.069,0.091,leadhook
0.102,0.058,0.113,0.056,0.042,0.05,leadhook
5.764,7.104,7.524,2.637,1.279,1.807,leadhook
0.523,0.784,1.472,1.246,0.205,0.225,leadhook
0.08,0.127,0.068,0.108,0.022,0.036,leadhook
0.286,0.653,1.653,0.862,0.261,0.174,leadhook
6.589,7.533,7.774,2.712,1.322,2.078,leadhook
0.125,0.213,0.237,0.197,0.063,0.043,leadhook
0.069,0.1,0.189,0.124,0.083,0.114,leadhook
6.608,7.918,8.087,2.929,1.266,2.261,leadhook
0.198,0.37,0.968,1.028,0.212,0.196,leadhook
0.083,0.146,0.072,0.092,0.033,0.061,leadhook
3.278,2.275,4.22,1.836,0.384,1.161,leadhook
3.806,6.414,5.516,1.921,1.244,1.272,leadhook
0.171,0.23,0.168,0.294,0.076,0.078,leadhook
0.134,0.216,0.417,0.332,0.096,0.05,leadhook
5.604,7.202,7.273,3.002,1.036,2.126,leadhook
0.239,0.399,0.957,0.829,0.209,0.08,leadhook
0.138,0.126,0.126,0.161,0.116,0.051,leadhook
5.897,7.111,6.553,2.459,1.235,2.147,leadhook
0.554,0.656,1.548,1.429,0.179,0.237,leadhook
0.08,0.056,0.07,0.034,0.037,0.033,leadhook
5.192,7.083,7.118,2.053,1.129,1.481,leadhook
2.139,1.269,2.392,1.819,0.493,0.944,leadhook
0.089,0.09,0.092,0.128,0.031,0.027,leadhook
2.063,1.634,2.924,1.685,0.379,0.776,leadhook
5.337,6.841,4.878,1.951,1.273,1.81,leadhook
0.153,0.206,0.151,0.177,0.055,0.067,leadhook
0.096,0.061,0.127,0.096,0.078,0.048,leadhook
6.578,8.276,6.373,2.343,1.424,2.11,leadhook
0.461,0.684,1.658,1.34,0.203,0.17,leadhook
0.087,0.078,0.106,0.12,0.028,0.016,leadhook
1.687,1.351,3.093,1.422,0.436,0.614,leadhook
4.858,6.614,5.488,2.268,1.263,1.717,leadhook
