"Time (s)","Distance (cm)"
2.448374988E-3,0.000000000E0
3.015424998E-2,5.000000000E0
2.112015125E0,0.000000000E0
5.263762167E0,5.000000000E0
5.303719458E0,0.000000000E0
1.576566471E1,5.000000000E0
1.853871854E1,0.000000000E0
2.167648329E1,5.000000000E0
2.176317825E1,0.000000000E0
2.843821100E1,5.000000000E0
2.852569258E1,0.000000000E0
1.051905242E2,5.000000000E0
1.081391415E2,0.000000000E0
1.205767534E2,5.000000000E0
1.239471938E2,0.000000000E0
1.398853768E2,5.000000000E0
1.428272475E2,0.000000000E0
1.628630495E2,5.000000000E0
1.658246891E2,0.000000000E0
1.659313075E2,5.000000000E0
1.689238892E2,0.000000000E0
1.689404637E2,5.000000000E0
1.689904679E2,0.000000000E0